epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3742,1.02878,9.76297,1.92699,1.34296,0.59476,0.85,0.84885,0.632,0.14336,0.16667,0.16583,0.0995,1.6355,5.12277,1.06246,1.3769,0,0,0
2,10.8893,1.28384,8.86361,2.38736,1.60121,0.57843,0.85,0.84776,0.63127,0.14288,0.16667,0.16583,0.0995,1.6453,5.12254,1.05244,1.37787,1.07219e-06,1.07219e-06,1.07219e-06
3,18.6122,0.79683,9.79532,2.10349,1.2186,0.59056,0.85,0.84923,0.65007,0.14345,0.16667,0.177,0.10062,1.65988,5.12261,1.05955,1.38173,1.90876e-06,1.90876e-06,1.90876e-06
4,24.7061,0.91907,12.1779,1.64244,1.18029,0.6128,0.85,0.8496,0.65018,0.14449,0.16667,0.1785,0.10077,1.65818,5.12249,1.05464,1.38094,2.50971e-06,2.50971e-06,2.50971e-06
5,30.1677,0.74811,10.9957,1.8912,1.10445,0.62184,0.85,0.87831,0.65584,0.14612,0.16667,0.1785,0.10077,1.62844,5.12238,1.03114,1.3569,2.87504e-06,2.87504e-06,2.87504e-06
6,36.0007,1.26912,10.3691,2.74028,1.57142,0.63586,0.85,0.85271,0.65161,0.14777,0.16667,0.18403,0.10132,1.59241,5.12198,1.02278,1.33471,3.00475e-06,3.00475e-06,3.00475e-06
7,40.7398,1.22326,12.6846,2.09425,1.44407,0.64984,0.85,0.8531,0.63723,0.14935,0.16667,0.17861,0.10078,1.5814,5.12184,1.01296,1.32896,2.89884e-06,2.89884e-06,2.89884e-06
8,46.2891,0.95811,8.74045,1.91999,1.31588,0.64198,0.85,0.85395,0.63709,0.14818,0.16667,0.1806,0.11904,1.59918,5.1217,1.01029,1.33583,2.55731e-06,2.55731e-06,2.55731e-06
9,54.0199,1.17527,10.3007,1.81246,1.34531,0.66051,0.85,0.85752,0.63852,0.14971,0.16667,0.18067,0.11905,1.57674,5.12152,1.00606,1.32716,1.98016e-06,1.98016e-06,1.98016e-06
10,59.1236,1.16477,8.27443,2.60803,1.42342,0.66754,0.85,0.85697,0.63833,0.1701,0.18333,0.18701,0.12032,1.5652,5.12132,0.99682,1.32012,1.16739e-06,1.16739e-06,1.16739e-06
